State,Trump,Cruz,Rubio,Kasich
Iowa,7,8,7,1
New Hampshire,11,3,2,4
South Carolina,50,0,0,0
Nevada,14,6,7,1
Alabama,36,13,1,0
Alaska,14,14,0,0
Arkansas,16,15,9,0
Georgia,42,18,16,0
Massachusetts,22,4,8,8
Minnesota,8,13,17,0
Oklahoma,13,15,12,0
Tennessee,33,16,9,0
Texas,48,104,3,0
Vermont,8,0,0,8
Virginia,17,8,16,5
Kansas,9,24,6,1
Kentucky,17,15,7,7
Louisiana,18,18,5,0
Maine,9,12,0,2
Hawaii,11,7,1,0
Idaho,12,20,0,0
Michigan,25,17,0,17
Mississippi,24,13,0,0
Wyoming,1,9,1,0
Florida,99,0,0,0
Illnois,53,9,0,5
Missouri,25,15,0,0
North Carolina,29,27,6,9
Ohio,0,0,0,66
Arizona,58,0,0,0
Utah,0,40,0,0
Total,739,465,166,143
